hud_amp,tds,cons_tds,development_edp,operating_edp,hud,dev_name,program,method,type,section_8_transition_apartments,current_apartments,total_number_apartments,number_rental_rooms,avg._no._r/r_per_apartment,population_-_section_8_transition,population_-_public_housing,total_population,households_on_fixed_income,%_households_on_fixed_income,residential_buildings,non-residential_buildings,stairhalls,stories,total_area_-_sq._ft.,acres,net_dev._area_-_sq._ft.,(excluding_park)_acres,bldg._coverage_-_sq._ft.,cubage_-_cu._ft.,bldg/land_coverage_-__%,density_(population/acre),development_cost,cost_per_rental_room,avg._monthly_gross_rent,location,borough,community_district,us_congressional_district,new_york_state_senate_district,new_york_state_assembly_district,new_york_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management
NY005013420,305,342,550,753,NY005224,SOUTH BRONX AREA (SITE 402),FEDERAL,TURNKEY,NEW CONST,,112,114,592.0,5.29,,383,383,18,16.2%,4,0,19,3,"149,500",3.43,"149,500",3.43,"41,764","1,301,202",27.94%,112,"$8,902,455","$14,764",$636,E 158TH ST E 161ST ST CAULDWELL AVE EAGLE AVE,BRONX,1,15,32,79,17,5/1/1988,,,YES,
NY005013420,353,342,770,753,NY005280,STEBBINS AVENUE-HEWITT PLACE,FEDERAL,TURNKEY,NEW CONST,,119,120,535.5,4.50,,274,274,37,31.1%,2,0,14,3,"123,156",2.83,"123,156",2.83,"42,267","1,098,942",34.32%,97,"$8,851,338","$16,391",$648,HEWITT PL WESTCHESTER AVE REV JAMES A POLITE AVE DAWSON ST,BRONX,2,15,32,85,17,4/17/1987,,,YES,
NY005013080,223,308,344,344,NY005163,TELLER AVENUE-EAST 166TH STREET,FEDERAL,TURNKEY,NEW CONST,,90,90,352.0,3.91,,185,185,41,46.1%,1,0,1,6,"27,481",0.63,"27,481",0.63,"12,354","816,812",44.95%,294,"$2,296,895","$6,363",$463,TELLER AVE E 167TH ST CLAY AVE E 166TH ST,BRONX,4,15,32,77,16,9/30/1971,,,,
NY005010630,063,063,218,218,NY005015,THROGGS NECK,FEDERAL,CONVENTIONAL,NEW CONST,,"1,182","1,185","5,423.0",4.59,,"2,648","2,648",407,34.9%,29,2,66,3-7,"1,430,081",32.83,"1,430,081",32.83,"228,989","11,440,850",16.01%,81,"$15,541,569","$2,859",$540,RANDALL AVE CALHOUN AVE SAMPSON AVE BALCOM AVE,BRONX,10,14,34,82,13,11/27/1953,,,,
NY005010630,193,063,303,218,NY005098,THROGGS NECK ADDITION,FEDERAL,CONVENTIONAL,NEW CONST,,287,287,"1,330.5",4.64,,692,692,112,40.0%,4,0,4,8-11,"384,899",8.84,"384,899",8.84,"39,315","2,755,918",10.21%,78,"$7,405,898","$5,523",$542,DEWEY AVE BALCOLM AVE RANDALL AVE THROGGS NECK HOUSES,BRONX,10,14,34,82,13,9/30/1971,,,,
NY005012270,287,180,577,577,NY005227,TWIN PARKS EAST (SITE 9),FEDERAL,CONVENTIONAL,NEW CONST (ELD),,219,219,689.5,3.15,,231,231,189,87.5%,1,0,1,14,"71,490",1.64,"71,490",1.64,"11,388","1,505,284",15.93%,141,"$11,406,932","$16,520",$296,CLINTON AVE E 180TH ST PROSPECT AVE OAKLAND PL,BRONX,6,15,33,79,15,4/30/1982,,EXCLUSIVELY,YES,
NY005013420,342,342,753,753,NY005214,UNION AVENUE-EAST 163RD STREET,FEDERAL,TURNKEY,NEW CONST (ELD),,199,200,696.5,3.50,,229,229,172,88.2%,1,0,1,9,"115,299",2.65,"115,299",2.65,"18,632","1,502,857",16.16%,86,"$12,675,000","$18,107",$325,E 165TH ST PROSPECT AVE E 163RD ST UNION AVE,BRONX,3,15,32,79,17,3/11/1985,,EXCLUSIVELY,YES,
NY005013420,356,342,768,753,NY005291,UNION AVENUE-EAST 166TH STREET,FEDERAL,TURNKEY,NEW CONST,,120,120,539.0,4.49,,280,280,38,32.2%,6,0,20,3,"98,707",2.27,"98,707",2.27,"38,943","1,022,257",39.45%,123,"$9,239,549","$17,142",$556,E 166TH ST PROSPECT AVE HOME ST UNION AVE,BRONX,3,15,32,79,17,9/1/1988,,,YES,
NY005013410,341,341,762,762,NY005283,UNIVERSITY AVENUE REHAB,FEDERAL,TURNKEY,REHAB,,230,230,"1,034.0",4.50,,519,519,93,40.4%,4,0,5,6,"77,898",1.79,"77,898",1.79,"43,696","2,798,894",56.09%,290,"$15,900,000","$15,377",$529,W BURNSIDE AVE UNIVERSITY AVE W TREMONT AVE ANDREWS AVE,BRONX,5,15,29,86,14,1/31/1985,,,YES,YES
NY005011410,141,141,231,231,NY005028,WEBSTER,FEDERAL,CONVENTIONAL,NEW CONST,,606,606,"2,831.0",4.67,,"1,562","1,562",223,37.2%,5,1,6,21,"197,199",4.53,"197,199",4.53,"31,247","5,322,369",15.85%,345,"$12,227,114","$4,319",$503,E 169TH ST PARK AVE E 168TH ST WEBSTER AVE,BRONX,3,15,32,79,16,9/30/1965,,,,
NY005015300,360,530,780,780,NY005286,WEST FARMS ROAD REHAB,FEDERAL,TURNKEY,REHAB,,208,208,883.0,4.25,,437,437,68,33.0%,4,0,7,6,"51,965",1.19,"51,965",1.19,"34,935","2,104,200",67.23%,367,"$14,480,678","$16,399",$570,FREEMAN ST JENNINGS ST WEST FARMS RD LONGFELLOW AVE,BRONX,"2, 3",15,32,85,17,8/13/1986,,,YES,YES
NY005015310,526,530,481,482,NY005318,WEST FARMS SQUARE CONVENTIONAL,FEDERAL,CONVENTIONAL,REHAB,,20,20,85.0,4.25,,50,50,2,10.0%,1,0,1,5,"5,000",0.11,"5,000",0.11,"3,363","202,892",67.26%,455,"$1,558,811","$18,339",$576,E 167TH ST LONGFELLOW AVE WEST FARMS RD,BRONX,3,15,32,85,17,6/30/1994,,,YES,YES
NY005010450,246,045,365,368,NY005180,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,FEDERAL,TURNKEY,NEW CONST (ELD),,148,148,485.0,3.28,,159,159,130,89.7%,1,0,1,12,"36,563",0.84,"36,563",0.84,"9,609","982,251",26.28%,189,"$4,380,000","$8,734",$272,W TREMONT AVE MONTGOMERY AVE PALISADE PL SEDGWICK AVE,BRONX,5,15,29,77,14,7/31/1973,,EXCLUSIVELY,,
NY005011670,242,167,361,283,NY005174,104-14 TAPSCOTT STREET,FEDERAL,TURNKEY,NEW CONST,,30,30,131.0,4.37,,65,65,5,17.2%,1,0,1,4,"10,000",0.23,"10,000",0.23,"6,983","351,238",69.83%,283,"$839,110","$6,505",$643,TAPSCOTT ST UNION ST SUTTER AVE BLAKE AVE,BROOKLYN,16,9,20,55,41,10/31/1972,,,,
NY005010730,156,073,267,267,NY005068,303 VERNON AVENUE,FEDERAL,CONVENTIONAL,NEW CONST,,234,234,"1,101.0",4.71,,541,541,100,43.1%,1,0,1,24,"110,000",2.53,"110,000",2.53,"11,311","2,207,369",10.28%,214,"$4,703,702","$4,272",$511,VERNON AVE MARCUS GARVEY BLVD MYRTLE AVE,BROOKLYN,3,8,18,54,36,5/31/1967,,,,
NY005011630,196,163,307,272,NY005103,572 WARREN STREET,FEDERAL,TURNKEY,NEW CONST,,200,200,815.0,4.08,,375,375,84,42.0%,1,1,2,6,"81,700",1.88,"81,700",1.88,"28,530","1,726,301",34.92%,199,"$5,984,598","$7,116",$536,WARREN ST BALTIC ST THIRD AVE FOURTH AVE,BROOKLYN,6,7,25,52,33,8/31/1972,,,,
NY005010310,031,031,524,524,NY005216C,ALBANY,FEDERAL,CONVENTIONAL,NEW CONST,,823,829,"3,777.5",4.59,,"1,886","1,886",267,32.7%,6,0,6,14,"388,389",8.92,"388,389",8.92,"58,455","7,082,630",15.05%,211,"$8,951,000","$2,356",$565,ALBANY AVE SAINT MARKS AVE TROY AVE PARK PL,BROOKLYN,8,9,25,56,36,10/14/1950,1978/02/01-ATP 2,,,
NY005010310,085,031,524,524,NY005216C,ALBANY II,FEDERAL,CONVENTIONAL,NEW CONST,,400,400,"1,848.0",4.62,,985,985,130,33.1%,3,0,3,13-14,"214,594",4.93,"214,594",4.93,"26,053","3,249,689",12.14%,200,"$4,666,000","$2,540",$542,BERGEN ST TROY AVE ALBANY HOUSES ALBANY AVE,BROOKLYN,8,9,25,56,36,2/7/1957,1978/02/01-ATP 2,,,
NY005012100,210,210,325,325,NY005120,ARMSTRONG I,FEDERAL,CONVENTIONAL,NEW CONST,,369,371,"1,763.5",4.78,,977,977,143,39.0%,11,1,58,3-4-6,"245,481",5.64,"245,481",5.64,"94,311","4,800,020",38.42%,173,"$14,648,872","$8,129",$581,CLIFTON PL MARCY AVE GATES AVE BEDFORD AVE,BROOKLYN,3,8,25,"56, 57",36,5/31/1973,,PARTIALLY,,
NY005012100,228,210,355,325,NY005116,ARMSTRONG II,FEDERAL,TURNKEY,NEW CONST,,248,248,"1,276.0",5.15,,702,702,58,23.8%,5,1,17,4,"162,118",3.72,"162,118",3.72,"67,372","3,123,424",41.56%,189,"$7,802,067","$6,114",$600,GREENE AVE GATES AVE TOMPKINS AVE MARCY AVE,BROOKLYN,3,8,25,56,36,10/31/1974,,,,
NY005011630,256,163,384,272,NY005189,ATLANTIC TERMINAL SITE 4B,FEDERAL,TURNKEY,NEW CONST,,299,300,"1,237.5",4.14,,582,582,121,41.0%,1,0,1,31,"88,155",2.02,"88,155",2.02,"15,382","2,464,800",17.45%,288,"$10,797,972","$8,489",$562,CLERMONT AVE ATLANTIC AVE CARLTON AVE FULTON ST,BROOKLYN,2,8,25,57,35,4/30/1976,,,,
NY005020920,092,092,670,670,NY005368,BAY VIEW,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,340,"1,609","1,610","7,310.5",4.54,871,"2,635","3,506",620,38.8%,23,2,26,8,"1,481,844",34.02,"1,459,244",33.50,"228,305","14,262,296",15.41%,103,"$19,575,470","$2,676",$529,SEAVIEW AVE E 102ND ST ROCKAWAY PKWY SHORE PKWY,BROOKLYN,18,8,19,59,46,6/7/1956,,,,
NY005010730,311,073,266,538,NY005255,BEDFORD-STUYVESANT REHAB,FEDERAL,TURNKEY,REHAB,,84,85,381.0,4.54,,180,180,29,34.9%,3,0,5,4-6,"26,000",0.60,"26,000",0.60,"18,283","856,611",70.32%,300,"$5,219,763","$13,316",$579,THROOP AVE VERNON AVE MARCUS GARVEY BLVD HART ST,BROOKLYN,3,8,18,54,36,5/31/1983,,,YES,
NY005010460,345,046,761,761,NY005282,BELMONT-SUTTER AREA,FEDERAL,TURNKEY,NEW CONST,,72,72,336.0,4.67,,189,189,21,29.2%,3,0,8,3,"80,000",1.84,"80,000",1.84,"24,395","889,912",30.49%,103,"$5,373,534","$15,993",$577,BELMONT AVE JEROME ST SUTTER AVE BARBEY ST,BROOKLYN,5,8,19,60,42,2/28/1986,,,YES,
NY005011310,357,131,777,777,NY005288,BERRY STREET-SOUTH 9TH STREET,FEDERAL,TURNKEY,NEW CONST,,150,150,711.0,4.74,,370,370,44,29.9%,4,0,15,3-6,"129,228",2.97,"129,228",2.97,"39,559","1,341,343",30.61%,125,"$17,062,418","$23,999",$627,SOUTH 9TH ST BEDFORD & DIVISION AVES SOUTH 11TH ST WYTHE AVE,BROOKLYN,1,7,18,50,33,9/30/1995,,,YES,
NY005012430,243,243,353,353,NY005175,BORINQUEN PLAZA I,FEDERAL,TURNKEY,NEW CONST,,509,509,"2,359.5",4.64,,"1,123","1,123",270,53.9%,8,2,10,7,"250,875",5.76,"250,875",5.76,"96,902","4,544,080",38.63%,195,"$15,625,047","$6,556",$539,MANHATTAN AVE BOERUM ST BUSHWICK AVE VARET ST,BROOKLYN,1,7,18,53,34,2/28/1975,,PARTIALLY,,
NY005012430,271,243,390,353,NY005195,BORINQUEN PLAZA II,FEDERAL,TURNKEY,NEW CONST,,425,425,"2,265.5",5.33,,"1,123","1,123",149,35.1%,7,0,7,7,"184,000",4.22,"184,000",4.22,"61,115","4,223,000",33.21%,266,"$16,411,918","$7,244",$612,BOERUM ST HUMBOLDT ST SEIGEL ST BUSHWICK AVE,BROOKLYN,1,7,18,53,34,12/31/1975,,,,
NY005020460,046,046,637,637,NY005369,BOULEVARD,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,438,"1,424","1,441","5,992.0",4.21,846,"1,850","2,696",581,41.6%,18,0,30,6-14,"1,127,650",25.89,"1,127,650",25.89,"170,051","12,141,094",15.08%,104,"$13,645,438","$2,247",$518,LINDEN BLVD ASHFORD ST WORTMAN AVE SCHENCK AVE,BROOKLYN,5,8,19,60,42,3/22/1951,,,,
NY005000560,056,056,212,212,NY005011,BREUKELEN,FEDERAL,CONVENTIONAL,NEW CONST,,"1,592","1,595","7,460.0",4.69,,"3,476","3,476",539,34.3%,30,2,97,3-7,"2,830,416",64.98,"2,141,741",49.17,"360,423","14,297,000",12.73%,53,"$18,410,273","$2,464",$544,STANLEY AVE FLATLANDS AVE E 103RD ST WILLIAMS AVE,BROOKLYN,18,8,19,"58, 60",42,11/6/1952,,,,
NY005000650,065,065,213,213,NY005017,BREVOORT,FEDERAL,CONVENTIONAL,NEW CONST,,894,896,"4,187.0",4.68,,"1,918","1,918",330,37.1%,13,1,27,7,"751,896",17.26,"687,188",15.78,"121,363","7,735,916",16.14%,111,"$11,831,887","$2,849",$571,BAINBRIDGE ST RALPH AVE FULTON ST PATCHEN AVE,BROOKLYN,3,8,25,55,41,8/10/1955,,,,
NY005012520,325,252,336,336,NY005277,BROWN,FEDERAL,TURNKEY,NEW CONST (ELD),,200,200,700.0,3.50,,220,220,179,90.4%,2,0,2,6,"99,460",2.28,"99,460",2.28,"29,354","1,493,904",29.51%,96,"$13,425,060","$19,179",$368,EASTERN PKWY PROSPECT PL HOPKINSON AVE SAINT MARKS AVE,BROOKLYN,16,8,20,55,41,7/23/1985,,EXCLUSIVELY,YES,
NY005000160,016,016,512,512,NY005213D,BROWNSVILLE,FEDERAL,CONVENTIONAL,NEW CONST,,"1,336","1,338","6,279.0",4.70,,"3,166","3,166",416,31.6%,27,0,46,6-7,"819,997",18.82,"732,841",16.82,"188,564","10,371,638",23.00%,168,"$12,898,000","$2,054",$520,SUTTER AVE DUMONT AVE MOTHER GASTON BLVD ROCKAWAY AVE,BROOKLYN,16,9,20,55,41,4/16/1948,1977/07/01-ATP 1,,,
NY005020860,086,086,430,430,NY005370,BUSHWICK,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,209,"1,219","1,220","5,669.5",4.65,555,"2,288","2,843",499,41.3%,8,0,8,13-20,"697,736",16.02,"639,260",14.68,"78,768","11,288,105",11.29%,177,"$20,346,000","$3,599",$541,HUMBOLDT ST MOORE ST BUSHWICK AVE FLUSHING AVE,BROOKLYN,1,7,18,53,34,4/1/1960,,,,
NY005012470,302,247,565,546,NY005222,BUSHWICK II (GROUPS A & C),FEDERAL,TURNKEY,NEW CONST,,299,300,"1,446.5",4.84,,716,716,125,41.8%,25,0,25,3,"402,930",9.25,"402,930",9.25,"102,600","3,200,584",25.46%,77,"$20,840,392","$14,235",$607,CENTRAL AVE HARMAN AVE GREEN AVE HALSEY ST,BROOKLYN,4,"7, 8",18,"53, 54","34, 37",7/19/1984,,,YES,
NY005012470,303,247,566,546,NY005240,BUSHWICK II (GROUPS B & D),FEDERAL,TURNKEY,NEW CONST,,300,300,"1,450.0",4.83,,702,702,121,40.5%,25,1,27,3,"440,392",10.11,"440,392",10.11,"102,600","3,200,584",23.30%,69,"$19,608,177","$13,339",$584,GATES AVE WILSON AVE MADISON AVE EVERGREEN AVE,BROOKLYN,4,7,18,"53, 54","34, 37",7/5/1984,,,YES,
NY005012470,324,247,758,546,NY005263,BUSHWICK II CDA (GROUP E),FEDERAL,TURNKEY,NEW CONST,,276,276,"1,212.0",4.39,,555,555,153,55.8%,5,0,37,3,"300,000",6.89,"300,000",6.89,"84,230","2,198,403",28.08%,81,"$20,078,888","$16,539",$543,KNICKERBOCKER AVE WILSON AVE GATES AVE MENAHAN ST,BROOKLYN,4,7,18,53,37,12/10/1986,,,YES,
NY005011660,166,166,288,288,NY005088,CAREY GARDENS,FEDERAL,CONVENTIONAL,NEW CONST,,682,683,"3,095.0",4.54,,"1,632","1,632",284,41.9%,3,2,5,15-17,"364,406",8.37,"364,406",8.37,"58,078","6,234,149",15.94%,195,"$16,996,504","$5,476",$486,W 24TH ST NEPTUNE AVE W 22ND ST SURF AVE,BROOKLYN,13,8,23,46,47,11/30/1970,,,,
NY005011700,094,170,671,671,NY005363,CONEY ISLAND,FEDERAL,CONVENTIONAL,NEW CONST,,530,534,"2,426.0",4.58,,"1,121","1,121",211,40.1%,5,0,5,14,"298,874",6.86,"239,429",5.50,"38,119","4,912,800",12.75%,163,"$7,728,534","$3,165",$599,SURF AVE W 32ND ST RIEGELMANN BRDWK W 29TH ST,BROOKLYN,13,8,23,46,47,2/25/1957,1995/07/13-PTA,,,
NY005011660,239,166,335,288,NY005161,CONEY ISLAND I (SITE 1B),FEDERAL,TURNKEY,NEW CONST,,192,193,952.0,4.96,,512,512,73,38.2%,1,0,1,18,"93,061",2.14,"93,061",2.14,"14,078","1,876,990",15.13%,239,"$7,531,412","$7,829",$552,W 20TH ST W 21ST ST SURF AVE MERMAID AVE,BROOKLYN,13,8,23,46,47,5/31/1973,,,,
NY005011720,238,172,334,334,NY005157,CONEY ISLAND I (SITE 8),FEDERAL,TURNKEY,NEW CONST,,124,125,626.0,5.05,,361,361,37,30.6%,1,0,2,14,"61,483",1.41,"61,483",1.41,"11,970","1,187,936",19.47%,256,"$5,853,893","$9,255",$559,W 35TH ST W 36TH ST SURF AVE MERMAID AVE,BROOKLYN,13,8,23,46,47,12/31/1973,,,,
NY005011700,216,170,328,278,NY005123,CONEY ISLAND I (SITES 4 & 5),FEDERAL,TURNKEY,NEW CONST,,376,376,"1,879.0",5.00,,"1,029","1,029",103,27.9%,1,1,6,17,"187,318",4.30,"187,318",4.30,"38,750","4,017,326",20.69%,239,"$16,603,000","$8,808",$595,MERMAID AVE W 25TH ST SURF AVE W 28TH ST,BROOKLYN,13,8,23,46,47,7/31/1974,,,,
NY005000690,069,069,223,223,NY005023,COOPER PARK,FEDERAL,CONVENTIONAL,NEW CONST,,700,700,"3,281.0",4.69,,"1,554","1,554",301,43.4%,11,0,13,7,"528,967",12.14,"496,296",11.39,"86,767","5,878,957",16.40%,128,"$7,702,277","$2,346",$541,FROST ST MORGAN AVE KINGSLAND AVE MASPETH AVE,BROOKLYN,1,12,18,50,34,6/25/1953,,,,
NY005013510,312,351,331,765,NY005258,CROWN HEIGHTS,FEDERAL,TURNKEY,REHAB,,121,121,527.5,4.36,,241,241,33,27.5%,8,0,8,4,"51,255",1.18,"51,255",1.18,"31,650","1,139,400",61.75%,204,"$7,974,650","$15,118",$625,BUFFALO AVE BERGEN ST RALPH AVE SAINT JOHNS PL,BROOKLYN,8,"8, 9","20, 25","55, 56",41,9/4/1986,,,YES,
NY005010700,070,070,536,536,NY005220G,CYPRESS HILLS,FEDERAL,CONVENTIONAL,NEW CONST,,"1,439","1,444","6,588.5",4.58,,"3,250","3,250",519,36.4%,15,0,30,7,"1,264,130",29.02,"1,264,130",29.02,"223,364","12,338,237",17.67%,112,"$14,773,000","$2,247",$517,SUTTER AVE EUCLID AVE LINDEN BLVD FOUNTAIN AVE,BROOKLYN,5,8,"18, 19",60,42,5/25/1955,1978/07/01-ATP 3,,,
NY005010700,263,070,378,378,NY005171,EAST NEW YORK CITY LINE,FEDERAL,TURNKEY,NEW CONST,,66,66,409.0,6.20,,258,258,19,29.2%,33,0,33,3,"84,400",1.94,"84,400",1.94,"26,943","719,300",31.92%,133,"$2,774,644","$6,784",$633,FOUNTAIN AVE HEGEMAN AVE LOGAN ST,BROOKLYN,5,8,19,60,42,3/31/1976,,,,
NY005000290,029,029,532,532,NY005220C,FARRAGUT,FEDERAL,CONVENTIONAL,NEW CONST,,"1,389","1,390","6,512.5",4.69,,"3,185","3,185",537,38.8%,10,0,10,14,"723,570",16.61,"723,570",16.61,"100,746","11,639,930",13.92%,192,"$15,187,000","$2,324",$532,YORK ST NASSAU ST NAVY ST BRIDGE ST,BROOKLYN,2,8,25,57,35,5/7/1952,1978/07/01-ATP 3,,,
NY005011670,205,167,322,283,NY005129,FENIMORE-LEFFERTS,FEDERAL,TURNKEY,NEW CONST,,36,36,180.0,5.00,,98,98,12,33.3%,18,0,18,2,"33,705",0.77,"33,705",0.77,"20,339","564,300",60.34%,127,"$633,673","$3,520",$741,FENIMORE ST TROY AVE LEFFERTS AVE NOSTRAND AVE,BROOKLYN,9,9,20,43,"40, 41",9/30/1969,,,YES,
NY005012610,207,261,375,375,NY005188,FIORENTINO PLAZA,FEDERAL,CONVENTIONAL,NEW CONST,,158,160,787.0,4.98,,443,443,31,19.7%,8,0,10,4,"95,000",2.18,"95,000",2.18,"42,189","1,916,306",44.41%,203,"$6,138,432","$7,712",$537,GLENMORE AVE VAN SICLEN AVE PITKIN AVE WYONA ST,BROOKLYN,5,8,19,55,37,10/31/1971,,,,
NY005012520,252,252,381,381,NY005166,GARVEY (GROUP A),FEDERAL,CONVENTIONAL,NEW CONST,,320,321,"1,525.0",4.77,,863,863,124,39.4%,3,1,6,"2, 6-14","142,730",3.28,"142,730",3.28,"40,745","3,257,257",28.55%,263,"$12,599,489","$8,168",$563,EAST NEW YORK AVE AMBOY ST PITKIN AVE,BROOKLYN,16,9,20,55,41,2/28/1975,,PARTIALLY,,
NY005011690,171,169,581,581,NY005267C,GLENMORE PLAZA,FEDERAL,CONVENTIONAL,NEW CONST,,439,440,"1,701.5",3.88,,823,823,189,44.1%,4,0,4,10-18-24,"186,180",4.27,"186,180",4.27,"24,838","4,024,811",13.34%,193,"$10,600,000","$6,221",$499,PITKIN AVE GLENMORE AVE WATKINS ST POWELL ST,BROOKLYN,16,8,19,55,37,4/30/1968,1980/07/01-ATP 5,,,
NY005000440,044,044,584,584,NY005268B,GLENWOOD,FEDERAL,CONVENTIONAL,NEW CONST,,"1,186","1,188","5,207.0",4.39,,"2,512","2,512",404,34.4%,20,0,40,6,"975,095",22.39,"915,230",21.01,"183,856","10,242,805",18.86%,112,"$12,907,133","$2,475",$599,E 56TH ST FARRAGUT RD RALPH AVE AVENUE H,BROOKLYN,18,8,21,59,45,7/14/1950,1980/07/01-ATP 6,,,
NY005000250,025,025,515,515,NY005213G,GOWANUS,FEDERAL,CONVENTIONAL,NEW CONST,,"1,137","1,139","5,436.5",4.78,,"2,669","2,669",455,40.4%,15,1,25,4-6-9-13-14,"547,663",12.57,"502,216",11.53,"105,659","9,028,680",19.29%,212,"$11,928,000","$2,203",$556,WYCKOFF ST DOUGLASS ST BOND ST HOYT ST,BROOKLYN,6,7,25,52,33,6/24/1949,1977/07/01-ATP 1,,,
NY005011720,068,172,225,225,NY005025,GRAVESEND,FEDERAL,CONVENTIONAL,NEW CONST,,627,634,"2,915.5",4.65,,"1,463","1,463",217,35.1%,15,0,15,7,"540,725",12.41,"540,725",12.41,"92,855","5,356,500",17.17%,118,"$7,927,996","$2,687",$494,NEPTUNE AVE BAYVIEW AVE W 33RD ST,BROOKLYN,13,8,23,46,47,6/28/1954,,,,
NY005011660,142,166,589,589,NY005271D,HABER,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,380,380,"1,327.0",3.49,,442,442,347,92.8%,3,0,3,14,"134,432",3.09,"134,432",3.09,"23,903","2,547,605",17.78%,143,"$7,494,000","$5,647",$295,W 24TH ST SURF AVE REIGELMANN BRDWLK W 25TH ST,BROOKLYN,13,8,23,46,47,6/30/1965,1980/10/01-ATP 7,EXCLUSIVELY,,
NY005012470,247,247,546,546,NY005218,HOPE GARDENS,FEDERAL,CONVENTIONAL,NEW CONST,,323,324,"1,404.5",4.35,,696,696,176,54.7%,4,1,4,7-14,"202,500",4.65,"202,500",4.65,"41,000","351,600",20.25%,150,"$20,632,339","$14,504",$511,LINDEN ST WILSON AVE GROVE ST,BROOKLYN,4,7,18,53,37,8/31/1981,,PARTIALLY,YES,
NY005000720,072,072,568,568,NY005244A,HOWARD,FEDERAL,CONVENTIONAL,NEW CONST,,813,815,"3,699.5",4.55,,"1,835","1,835",279,34.8%,10,0,16,7-13,"664,735",15.26,"621,176",14.26,"87,500","6,943,700",13.16%,120,"$11,359,000","$3,079",$504,EAST NEW YORK AVE MOTHER GASTON BLVD PITKIN AVE ROCKAWAY AVE,BROOKLYN,16,8,20,55,41,12/30/1955,1979/08/01-ATP 4,,,
NY005013510,339,351,782,765,NY005261,HOWARD AVENUE,FEDERAL,TURNKEY,NEW CONST,,148,150,669.0,4.52,,373,373,39,26.5%,5,1,25,3,"132,915",3.05,"132,915",3.05,"50,568","1,536,736",38.05%,122,"$11,464,557","$15,641",$663,EAST NEW YORK AVE GRAFTON ST SUTTER AVE TAPSCOTT ST,BROOKLYN,16,9,20,55,41,8/1/1988,,,YES,
NY005013510,365,351,551,551,NY005225,HOWARD AVENUE-PARK PLACE,FEDERAL,TURNKEY,NEW CONST,,155,156,776.5,5.01,,449,449,28,18.2%,8,0,159,3,"197,563",4.54,"197,563",4.54,"54,978","1,657,275",27.83%,99,"$15,843,706","$20,286",$700,HOWARD AVE STERLING PL EASTERN PKWY SAINT JOHNS PL,BROOKLYN,16,9,"20, 25",55,41,8/31/1994,,,YES,
NY005011680,168,168,275,275,NY005081,HUGHES APARTMENTS,FEDERAL,CONVENTIONAL,NEW CONST,,509,513,"2,421.5",4.76,,"1,366","1,366",135,26.8%,3,1,4,22,"241,990",5.56,"241,990",5.56,"23,502","4,599,540",9.71%,246,"$10,288,064","$4,201",$585,ROCKAWAY AVE MOTHER GASTON BLVD SUTTER AVE BELMONT AVE,BROOKLYN,16,9,20,55,41,6/30/1968,,,,
NY005010860,109,086,680,680,NY005364,HYLAN,FEDERAL,CONVENTIONAL,NEW CONST,,209,209,933.5,4.47,,456,456,82,39.4%,1,0,1,19,"77,658",1.78,"77,658",1.78,"11,403","1,878,400",14.68%,256,"$3,945,608","$4,240",$573,MOORE ST HUMBOLDT ST SEIGEL ST BUSHWICK AVE,BROOKLYN,1,7,18,53,34,6/30/1960,1995/07/13-PTA,,,
NY005021400,140,234,442,442,NY005376,INDEPENDENCE,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,155,741,744,"3,333.5",4.50,354,"1,360","1,714",326,44.8%,6,0,6,21,"232,000",5.33,"232,000",5.33,"44,685","6,457,003",19.26%,322,"$14,543,000","$4,344",$470,CLYMER ST WILSON ST WYTHE AVE BEDFORD AVE,BROOKLYN,1,7,18,50,33,10/31/1965,,,,
NY005000140,014,014,510,510,NY005213B,INGERSOLL,FEDERAL,CONVENTIONAL,NEW CONST,,"1,830","1,840","8,698.0",4.75,,"4,198","4,198",493,29.2%,20,1,46,6-11,"884,521",20.31,"812,641",18.66,"175,748","10,226,288",17.62%,207,"$12,236,672","$1,681",$577,PARK AVE SAINT EDWARDS ST MYRTLE AVE PRINCE ST,BROOKLYN,2,8,25,57,35,2/24/1944,1977/07/01-ATP 1,,,
NY005010100,010,010,205,205,NY005006,KINGSBOROUGH,FEDERAL,CONVENTIONAL,NEW CONST,,"1,154","1,165","4,711.0",4.08,,"2,408","2,408",409,36.5%,16,0,35,6,"695,544",15.97,"665,526",15.28,"129,189","8,037,853",18.57%,151,"$5,175,100","$1,107",$504,RALPH AVE PACIFIC ST BERGEN ST ROCHESTER AVE,BROOKLYN,"8, 16",8,25,"55, 56",41,10/31/1941,,,,
