hud_amp,tds,cons_tds,development_edp,operating_edp,hud,dev_name,program,method,type,section_8_transition_units,current_units,total_number_units,number_rental_rooms,avg._no._r/r_per_unit,population_-_section_8_transition,population_-_public_housing,total_population,families_on_fixed_income,%_families_on_fixed_income,residential_buildings,non-residential_buildings,stairhalls,stories,total_area_-_sq._ft.,acres,net_dev._area_-_sq._ft.,(excluding_park)_acres,bldg._coverage_-_sq._ft.,cubage_-_cu._ft.,bldg/land_coverage_-__%,density_(population/acre),development_cost,cost_per_rental_room_(as_built),avg._monthly_gross_rent,location,borough,community_district,us_congressional_district,new_york_state_senate_district,new_york_state_assembly_district,new_york_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management
NY005000710,071,071,537,537,NY005220H,SOUNDVIEW,FEDERAL,CONVENTIONAL,NEW CONST,,"1,258","1,259",5863.0,4.66,0,"2,882","2,882",490,39.2%,13,2,26,7,"1,076,761",24.72,"1,076,761",25,"164,048","10,481,330",14.32%,117,"$13,445,000","$2,308",$518,ROSEDALE AVE LACOMBE AVE BRONX RIVER AVE SOUNDVIEW PK,BRONX,9,15,32,85,18,10/29/1954,1978/07/01-ATP 3,,,
NY005013420,305,342,550,753,NY005224,SOUTH BRONX AREA (SITE 402),FEDERAL,TURNKEY,NEW CONST,,112,114,592.0,5.29,0,372,372,14,12.7%,4,0,19,3,"149,500",3.43,"149,500",3,"41,764","1,301,202",27.94%,108,"$8,902,455","$14,764",$656,E 158TH ST E 161ST ST CAULDWELL AVE EAGLE AVE,BRONX,1,15,32,79,17,5/1/1988,,,YES,
NY005013420,353,342,770,753,NY005280,STEBBINS AVENUE-HEWITT PLACE,FEDERAL,TURNKEY,NEW CONST,,119,120,535.5,4.50,0,265,265,39,33.1%,2,0,14,3,"123,156",2.83,"123,156",3,"42,267","1,098,942",34.32%,94,"$8,851,338","$16,391",$630,HEWITT PL WESTCHESTER AVE REV JAMES A POLITE AVE DAWSON ST,BRONX,2,15,32,85,17,4/17/1987,,,YES,
NY005013080,223,308,344,344,NY005163,TELLER AVENUE-EAST 166TH STREET,FEDERAL,TURNKEY,NEW CONST,,90,90,352.0,3.91,0,183,183,43,48.9%,1,0,1,6,"27,481",0.63,"27,481",1,"12,354","816,812",44.95%,290,"$2,296,895","$6,363",$477,TELLER AVE E 167TH ST CLAY AVE E 166TH ST,BRONX,4,15,32,77,16,9/30/1971,,,,
NY005010630,063,063,218,218,NY005015,THROGGS NECK,FEDERAL,CONVENTIONAL,NEW CONST,,"1,181","1,185",5418.5,4.59,0,"2,603","2,603",415,35.6%,29,2,64,3-7,"1,430,081",32.83,"1,430,081",33,"228,989","11,440,850",16.01%,79,"$15,541,569","$2,859",$545,RANDALL AVE CALHOUN AVE SAMPSON AVE BALCOM AVE,BRONX,10,14,34,82,13,11/27/1953,,,,
NY005010630,193,063,303,218,NY005098,THROGGS NECK ADDITION,FEDERAL,CONVENTIONAL,NEW CONST,,285,287,1324.5,4.65,0,669,669,118,42.1%,4,0,4,8-11,"384,899",8.84,"384,899",9,"39,315","2,755,918",10.21%,76,"$7,405,898","$5,523",$557,DEWEY AVE BALCOLM AVE RANDALL AVE THROGGS NECK HOUSES,BRONX,10,14,34,82,13,9/30/1971,,,,
NY005012270,287,180,577,577,NY005227,TWIN PARKS EAST (SITE 9),FEDERAL,CONVENTIONAL,NEW CONST (ELD),,219,219,689.5,3.15,0,232,232,182,84.3%,1,0,1,14,"71,490",1.64,"71,490",2,"11,388","1,505,284",15.93%,141,"$11,406,932","$16,520",$303,CLINTON AVE E 180TH ST PROSPECT AVE OAKLAND PL,BRONX,6,15,33,79,15,4/30/1982,,EXCLUSIVELY,YES,
NY005013420,342,342,753,753,NY005214,UNION AVENUE-EAST 163RD STREET,FEDERAL,TURNKEY,NEW CONST (ELD),,199,200,696.5,3.50,0,230,230,164,84.1%,1,0,1,9,"115,299",2.65,"115,299",3,"18,632","1,502,857",16.16%,87,"$12,675,000","$18,107",$335,E 165TH ST PROSPECT AVE E 163RD ST UNION AVE,BRONX,3,15,32,79,17,3/11/1985,,EXCLUSIVELY,YES,
NY005013420,356,342,768,753,NY005291,UNION AVENUE-EAST 166TH STREET,FEDERAL,TURNKEY,NEW CONST,,120,120,539.0,4.49,0,277,277,37,31.4%,6,0,20,3,"98,707",2.27,"98,707",2,"38,943","1,022,257",39.45%,122,"$9,239,549","$17,142",$555,E 166TH ST PROSPECT AVE HOME ST UNION AVE,BRONX,3,15,32,79,17,9/1/1988,,,YES,
NY005013410,341,341,762,762,NY005283,UNIVERSITY AVENUE REHAB,FEDERAL,TURNKEY,REHAB,,230,230,1034.0,4.50,0,511,511,99,43.0%,4,0,5,6,"77,898",1.79,"77,898",2,"43,696","2,798,894",56.09%,285,"$15,900,000","$15,377",$525,W BURNSIDE AVE UNIVERSITY AVE W TREMONT AVE ANDREWS AVE,BRONX,5,15,29,86,14,1/31/1985,,,YES,YES
NY005011410,141,141,231,231,NY005028,WEBSTER,FEDERAL,CONVENTIONAL,NEW CONST,,606,606,2831.0,4.67,0,"1,555","1,555",221,36.9%,5,1,5,21,"197,199",4.53,"197,199",5,"31,247","5,322,369",15.85%,343,"$12,227,114","$4,319",$517,E 169TH ST PARK AVE E 168TH ST WEBSTER AVE,BRONX,3,15,32,79,16,9/30/1965,,,,
NY005015300,360,530,780,780,NY005286,WEST FARMS ROAD REHAB,FEDERAL,TURNKEY,REHAB,,208,208,883.0,4.25,0,442,442,71,34.1%,4,0,7,6,"51,965",1.19,"51,965",1,"34,935","2,104,200",67.23%,371,"$14,480,678","$16,399",$579,FREEMAN ST JENNINGS ST WEST FARMS RD LONGFELLOW AVE,BRONX,"2, 3",15,32,85,17,8/13/1986,,,YES,YES
NY005015310,526,530,481,482,NY005318,WEST FARMS SQUARE CONVENTIONAL,FEDERAL,CONVENTIONAL,REHAB,,20,20,85.0,4.25,0,47,47,3,15.0%,1,0,1,5,"5,000",0.11,"5,000",0,"3,363","202,892",67.26%,427,"$1,558,811","$18,339",$593,E 167TH ST LONGFELLOW AVE WEST FARMS RD,BRONX,3,15,32,85,17,6/30/1994,,,YES,YES
NY005010450,246,045,365,368,NY005180,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,FEDERAL,TURNKEY,NEW CONST (ELD),,148,148,485.0,3.28,0,165,165,126,85.1%,1,0,1,12,"36,563",0.84,"36,563",1,"9,609","982,251",26.28%,196,"$4,380,000","$8,734",$293,W TREMONT AVE MONTGOMERY AVE PALISADE PL SEDGWICK AVE,BRONX,5,15,29,77,14,7/31/1973,,EXCLUSIVELY,,
NY005011670,242,167,361,283,NY005174,104-14 TAPSCOTT STREET,FEDERAL,TURNKEY,NEW CONST,,30,30,131.0,4.37,0,68,68,8,26.7%,1,0,1,4,"10,000",0.23,"10,000",0,"6,983","351,238",69.83%,296,"$839,110","$6,505",$586,TAPSCOTT ST UNION ST SUTTER AVE BLAKE AVE,BROOKLYN,16,9,20,55,41,10/31/1972,,,,
NY005010730,156,073,267,267,NY005068,303 VERNON AVENUE,FEDERAL,CONVENTIONAL,NEW CONST,,234,234,"1,101.0",4.71,0,538,538,89,38.2%,1,0,1,24,"110,000",2.53,"110,000",3,"11,311","2,207,369",10.28%,213,"$4,703,702","$4,272",$524,VERNON AVE MARCUS GARVEY BLVD MYRTLE AVE,BROOKLYN,3,8,18,54,36,5/31/1967,,,,
NY005010310,031,031,524,524,NY005216C,ALBANY,FEDERAL,CONVENTIONAL,NEW CONST,,822,829,"3,774.0",4.59,0,"1,830","1,830",269,33.4%,6,0,6,14,"388,389",8.92,"388,389",9,"58,455","7,082,630",15.05%,205,"$8,951,000","$2,356",$569,ALBANY AVE SAINT MARKS AVE TROY AVE PARK PL,BROOKLYN,8,9,25,56,36,10/14/1950,1978/02/01-ATP 2,,,
NY005010310,085,031,524,524,NY005216C,ALBANY II,FEDERAL,CONVENTIONAL,NEW CONST,,400,400,"1,848.0",4.62,0,969,969,137,34.9%,3,0,3,13-14,"214,594",4.93,"214,594",5,"26,053","3,249,689",12.14%,197,"$4,666,000","$2,540",$550,BERGEN ST TROY AVE ALBANY HOUSES ALBANY AVE,BROOKLYN,8,9,25,56,36,2/7/1957,1978/02/01-ATP 2,,,
NY005011630,256,163,384,272,NY005189,ATLANTIC TERMINAL SITE 4B,FEDERAL,TURNKEY,NEW CONST,,299,300,"1,237.5",4.14,0,568,568,121,41.7%,1,0,1,31,"88,155",2.02,"88,155",2,"15,382","2,464,800",17.45%,281,"$10,797,972","$8,489",$579,CLERMONT AVE ATLANTIC AVE CARLTON AVE FULTON ST,BROOKLYN,2,8,25,57,35,4/30/1976,,,,
NY005020920,092,092,670,670,NY005368,BAY VIEW,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,340,"1,609","1,610","7,310.5",4.54,868,"2,591","3,459",631,39.7%,23,2,23,8,"1,481,844",34.02,"1,459,244",34,"228,305","14,262,296",15.41%,102,"$19,575,470","$2,676",$567,SEAVIEW AVE E 102ND ST ROCKAWAY PKWY SHORE PKWY,BROOKLYN,18,8,19,59,46,6/7/1956,,,,
NY005010730,311,073,266,538,NY005255,BEDFORD-STUYVESANT REHAB,FEDERAL,TURNKEY,REHAB,,84,85,381.0,4.54,0,193,193,30,36.6%,3,0,5,4-6,"26,000",0.6,"26,000",1,"18,283","856,611",70.32%,322,"$5,219,763","$13,316",$583,THROOP AVE VERNON AVE MARCUS GARVEY BLVD HART ST,BROOKLYN,3,8,18,54,36,5/31/1983,,,YES,
NY005010460,345,046,761,761,NY005282,BELMONT-SUTTER AREA,FEDERAL,TURNKEY,NEW CONST,,72,72,336.0,4.67,0,184,184,18,25.0%,3,0,8,3,"80,000",1.84,"80,000",2,"24,395","889,912",30.49%,100,"$5,373,534","$15,993",$618,BELMONT AVE JEROME ST SUTTER AVE BARBEY ST,BROOKLYN,5,8,19,60,42,2/28/1986,,,YES,
NY005012430,243,243,353,353,NY005175,BORINQUEN PLAZA I,FEDERAL,TURNKEY,NEW CONST,,507,509,"2,350.5",4.64,0,"1,104","1,104",267,53.2%,8,2,8,7,"250,875",5.76,"250,875",6,"96,902","4,544,080",38.63%,192,"$15,625,047","$6,556",$560,MANHATTAN AVE BOERUM ST BUSHWICK AVE VARET ST,BROOKLYN,1,7,18,53,34,2/28/1975,,PARTIALLY (2 BUILDINGS),,
NY005012430,271,243,390,353,NY005195,BORINQUEN PLAZA II,FEDERAL,TURNKEY,NEW CONST,,424,425,"2,259.0",5.33,0,"1,088","1,088",143,34.2%,7,0,7,7,"184,000",4.22,"184,000",4,"61,115","4,223,000",33.21%,258,"$16,411,918","$7,244",$667,BOERUM ST HUMBOLDT ST SEIGEL ST BUSHWICK AVE,BROOKLYN,1,7,18,53,34,12/31/1975,,,,
NY005020460,046,046,637,637,NY005369,BOULEVARD,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,458,"1,424","1,441","5,992.0",4.21,852,"1,759","2,611",610,44.2%,18,0,30,6-14,"1,127,650",25.89,"1,127,650",26,"170,051","12,141,094",15.08%,101,"$13,645,438","$2,247",$543,LINDEN BLVD ASHFORD ST WORTMAN AVE SCHENCK AVE,BROOKLYN,5,8,19,60,42,3/22/1951,,,,
NY005000560,056,056,212,212,NY005011,BREUKELEN,FEDERAL,CONVENTIONAL,NEW CONST,,"1,587","1,595","7,437.5",4.69,0,"3,406","3,406",559,35.7%,30,2,94,3-7,"2,830,416",64.98,"2,141,741",49,"360,423","14,297,000",12.73%,52,"$18,410,273","$2,464",$569,STANLEY AVE FLATLANDS AVE E 103RD ST WILLIAMS AVE,BROOKLYN,18,8,19,"58, 60",42,11/6/1952,,,,
NY005000650,065,065,213,213,NY005017,BREVOORT,FEDERAL,CONVENTIONAL,NEW CONST,,893,896,"4,182.5",4.68,0,"1,879","1,879",336,38.1%,13,1,26,7,"751,896",17.26,"687,188",16,"121,363","7,735,916",16.14%,109,"$11,831,887","$2,849",$573,BAINBRIDGE ST RALPH AVE FULTON ST PATCHEN AVE,BROOKLYN,3,8,25,55,41,8/10/1955,,,,
NY005012520,325,252,336,336,NY005277,BROWN,FEDERAL,TURNKEY,NEW CONST (ELD),,200,200,700.0,3.50,0,218,218,172,87.8%,2,0,2,6,"99,460",2.28,"99,460",2,"29,354","1,493,904",29.51%,96,"$13,425,060","$19,179",$367,EASTERN PKWY PROSPECT PL HOPKINSON AVE SAINT MARKS AVE,BROOKLYN,16,8,20,55,41,7/23/1985,,EXCLUSIVELY,YES,
NY005000160,016,016,512,512,NY005213D,BROWNSVILLE,FEDERAL,CONVENTIONAL,NEW CONST,,"1,336","1,338","6,279.0",4.70,0,"3,109","3,109",400,30.6%,27,0,46,3-6-7,"819,997",18.82,"732,841",17,"188,564","10,371,638",23.00%,165,"$12,898,000","$2,054",$558,SUTTER AVE DUMONT AVE MOTHER GASTON BLVD ROCKAWAY AVE,BROOKLYN,16,9,20,55,41,4/16/1948,1977/07/01-ATP 1,,,
NY005020860,086,086,430,430,NY005370,BUSHWICK,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,209,"1,220","1,220","5,673.0",4.65,529,"2,251","2,780",510,42.3%,8,0,8,13-20,"697,736",16.02,"639,260",15,"78,768","11,288,105",11.29%,174,"$20,346,000","$3,599",$537,HUMBOLDT ST MOORE ST BUSHWICK AVE FLUSHING AVE,BROOKLYN,1,7,18,53,34,4/1/1960,,,,
NY005011660,166,166,288,288,NY005088,CAREY GARDENS,FEDERAL,CONVENTIONAL,NEW CONST,,682,683,"3,095.0",4.54,0,"1,585","1,585",290,43.5%,3,2,3,15-17,"364,406",8.37,"364,406",8,"58,078","6,234,149",15.94%,189,"$16,996,504","$5,476",$496,W 24TH ST NEPTUNE AVE W 22ND ST SURF AVE,BROOKLYN,13,8,23,46,47,11/30/1970,,,,
NY005011700,094,170,671,671,NY005363,CONEY ISLAND,FEDERAL,CONVENTIONAL,NEW CONST,,530,534,"2,425.0",4.58,0,"1,099","1,099",224,42.7%,5,0,5,14,"298,874",6.86,"239,429",6,"38,119","4,912,800",12.75%,160,"$7,728,534","$3,165",$616,SURF AVE W 32ND ST RIEGELMANN BRDWK W 29TH ST,BROOKLYN,13,8,23,46,47,2/25/1957,1995/07/13-PTA,,,
NY005011660,239,166,335,288,NY005161,CONEY ISLAND I (SITE 1B),FEDERAL,TURNKEY,NEW CONST,,192,193,952.0,4.96,0,488,488,66,34.9%,1,0,1,18,"93,061",2.14,"93,061",2,"14,078","1,876,990",15.13%,228,"$7,531,412","$7,829",$556,W 20TH ST W 21ST ST SURF AVE MERMAID AVE,BROOKLYN,13,8,23,46,47,5/31/1973,,,,
NY005011720,238,172,334,334,NY005157,CONEY ISLAND I (SITE 8),FEDERAL,TURNKEY,NEW CONST,,122,125,611.0,5.01,0,343,343,44,37.6%,1,0,2,14,"61,483",1.41,"61,483",1,"11,970","1,187,936",19.47%,243,"$5,853,893","$9,255",$562,W 35TH ST W 36TH ST SURF AVE MERMAID AVE,BROOKLYN,13,8,23,46,47,12/31/1973,,,,
NY005011700,216,170,328,278,NY005123,CONEY ISLAND I (SITES 4 & 5),FEDERAL,TURNKEY,NEW CONST,,375,376,"1,874.5",5.00,0,992,992,107,28.9%,1,1,5,17,"187,318",4.3,"187,318",4,"38,750","4,017,326",20.69%,231,"$16,603,000","$8,808",$613,MERMAID AVE W 25TH ST SURF AVE W 28TH ST,BROOKLYN,13,8,23,46,47,7/31/1974,,,,
NY005000690,069,069,223,223,NY005023,COOPER PARK,FEDERAL,CONVENTIONAL,NEW CONST,,699,700,"3,274.5",4.68,0,"1,538","1,538",295,42.4%,11,0,13,7,"528,967",12.14,"496,296",11,"86,767","5,878,957",16.40%,127,"$7,702,277","$2,346",$544,FROST ST MORGAN AVE KINGSLAND AVE MASPETH AVE,BROOKLYN,1,12,18,50,34,6/25/1953,,,,
NY005013510,312,351,331,765,NY005258,CROWN HEIGHTS,FEDERAL,TURNKEY,REHAB,,121,121,527.5,4.36,0,238,238,32,26.7%,8,0,8,4,"51,255",1.18,"51,255",1,"31,650","1,139,400",61.75%,202,"$7,974,650","$15,118",$721,BUFFALO AVE BERGEN ST RALPH AVE SAINT JOHNS PL,BROOKLYN,8,"8, 9","20, 25","55, 56",41,9/4/1986,,,YES,
NY005010700,070,070,536,536,NY005220G,CYPRESS HILLS,FEDERAL,CONVENTIONAL,NEW CONST,,"1,440","1,444","6,593.0",4.58,0,"3,153","3,153",534,37.7%,15,0,30,7,"1,264,130",29.02,"1,264,130",29,"223,364","12,338,237",17.67%,109,"$14,773,000","$2,247",$540,SUTTER AVE EUCLID AVE LINDEN BLVD FOUNTAIN AVE,BROOKLYN,5,8,"18, 19",60,42,5/25/1955,1978/07/01-ATP 3,,,
NY005010700,263,070,378,378,NY005171,EAST NEW YORK CITY LINE,FEDERAL,TURNKEY,NEW CONST,,66,66,409.0,6.20,0,256,256,17,26.2%,33,0,33,3,"84,400",1.94,"84,400",2,"26,943","719,300",31.92%,132,"$2,774,644","$6,784",$590,FOUNTAIN AVE HEGEMAN AVE LOGAN ST,BROOKLYN,5,8,19,60,42,3/31/1976,,,,
NY005000290,029,029,532,532,NY005220C,FARRAGUT,FEDERAL,CONVENTIONAL,NEW CONST,,"1,386","1,390","6,503.0",4.69,0,"3,143","3,143",552,40.2%,10,0,10,14,"723,570",16.61,"723,570",17,"100,746","11,639,930",13.92%,189,"$15,187,000","$2,324",$532,YORK ST NASSAU ST NAVY ST BRIDGE ST,BROOKLYN,2,8,25,57,35,5/7/1952,1978/07/01-ATP 3,,,
NY005011670,205,167,322,283,NY005129,FENIMORE-LEFFERTS,FEDERAL,TURNKEY,NEW CONST,,36,36,180.0,5.00,0,93,93,15,41.7%,18,0,18,2,"33,705",0.77,"33,705",1,"20,339","564,300",60.34%,121,"$633,673","$3,520",$722,FENIMORE ST TROY AVE LEFFERTS AVE NOSTRAND AVE,BROOKLYN,9,9,20,43,"40, 41",9/30/1969,,,YES,
NY005012610,207,261,375,375,NY005188,FIORENTINO PLAZA,FEDERAL,CONVENTIONAL,NEW CONST,,158,160,787.0,4.98,0,438,438,34,22.1%,8,0,10,4,"95,000",2.18,"95,000",2,"42,189","1,916,306",44.41%,201,"$6,138,432","$7,712",$577,GLENMORE AVE VAN SICLEN AVE PITKIN AVE WYONA ST,BROOKLYN,5,8,19,55,37,10/31/1971,,,,
NY005012520,252,252,381,381,NY005166,GARVEY (GROUP A),FEDERAL,CONVENTIONAL,NEW CONST,,320,321,"1,525.0",4.77,0,861,861,126,39.7%,3,1,5,"2, 6-14","142,730",3.28,"142,730",3,"40,745","3,257,257",28.55%,263,"$12,599,489","$8,168",$566,EAST NEW YORK AVE AMBOY ST PITKIN AVE,BROOKLYN,16,9,20,55,41,2/28/1975,,PARTIALLY (1 BUILDING),,
NY005011690,171,169,581,581,NY005267C,GLENMORE PLAZA,FEDERAL,CONVENTIONAL,NEW CONST,,440,440,"1,704.0",3.87,0,793,793,193,45.4%,4,0,4,10-18-24,"186,180",4.27,"186,180",4,"24,838","4,024,811",13.34%,186,"$10,600,000","$6,221",$494,PITKIN AVE GLENMORE AVE WATKINS ST POWELL ST,BROOKLYN,16,8,19,55,37,4/30/1968,1980/07/01-ATP 5,,,
NY005000440,044,044,584,584,NY005268B,GLENWOOD,FEDERAL,CONVENTIONAL,NEW CONST,,"1,186","1,188","5,207.0",4.39,0,"2,499","2,499",437,37.2%,20,0,40,6,"975,095",22.39,"915,230",21,"183,856","10,242,805",18.86%,112,"$12,907,133","$2,475",$587,E 56TH ST FARRAGUT RD RALPH AVE AVENUE H,BROOKLYN,18,8,21,59,45,7/14/1950,1980/07/01-ATP 6,,,
NY005000250,025,025,515,515,NY005213G,GOWANUS,FEDERAL,CONVENTIONAL,NEW CONST,,"1,137","1,139","5,436.5",4.78,0,"2,631","2,631",455,40.4%,15,1,24,4-6-9-13-14,"547,663",12.57,"502,216",12,"105,659","9,028,680",19.29%,209,"$11,928,000","$2,203",$594,WYCKOFF ST DOUGLASS ST BOND ST HOYT ST,BROOKLYN,6,7,25,52,33,6/24/1949,1977/07/01-ATP 1,,,
NY005011720,068,172,225,225,NY005025,GRAVESEND,FEDERAL,CONVENTIONAL,NEW CONST,,625,634,"2,911.5",4.66,0,"1,421","1,421",220,36.1%,15,0,15,7,"540,725",12.41,"540,725",12,"92,855","5,356,500",17.17%,115,"$7,927,996","$2,687",$504,NEPTUNE AVE BAYVIEW AVE W 33RD ST,BROOKLYN,13,8,23,46,47,6/28/1954,,,,
NY005011660,142,166,589,589,NY005271D,HABER,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,380,380,"1,327.0",3.49,0,448,448,344,91.0%,3,0,3,14,"134,432",3.09,"134,432",3,"23,903","2,547,605",17.78%,145,"$7,494,000","$5,647",$317,W 24TH ST SURF AVE REIGELMANN BRDWLK W 25TH ST,BROOKLYN,13,8,23,46,47,6/30/1965,1980/10/01-ATP 7,EXCLUSIVELY,,
NY005000720,072,072,568,568,NY005244A,HOWARD,FEDERAL,CONVENTIONAL,NEW CONST,,813,815,"3,699.5",4.55,0,"1,848","1,848",309,38.4%,10,0,16,7-13,"664,735",15.26,"621,176",14,"87,500","6,943,700",13.16%,121,"$11,359,000","$3,079",$513,EAST NEW YORK AVE MOTHER GASTON BLVD PITKIN AVE ROCKAWAY AVE,BROOKLYN,16,8,20,55,41,12/30/1955,1979/08/01-ATP 4,,,
NY005013510,339,351,782,765,NY005261,HOWARD AVENUE,FEDERAL,TURNKEY,NEW CONST,,148,150,669.0,4.52,0,346,346,45,30.8%,5,1,25,3,"132,915",3.05,"132,915",3,"50,568","1,536,736",38.05%,113,"$11,464,557","$15,641",$676,EAST NEW YORK AVE GRAFTON ST SUTTER AVE TAPSCOTT ST,BROOKLYN,16,9,20,55,41,8/1/1988,,,YES,
NY005013510,365,351,551,551,NY005225,HOWARD AVENUE-PARK PLACE,FEDERAL,TURNKEY,NEW CONST,,155,156,776.5,5.01,0,429,429,34,22.1%,8,0,156,3,"197,563",4.54,"197,563",5,"54,978","1,657,275",27.83%,94,"$15,843,706","$20,286",$731,HOWARD AVE STERLING PL EASTERN PKWY SAINT JOHNS PL,BROOKLYN,16,9,"20, 25",55,41,8/31/1994,,,YES,
NY005011680,168,168,275,275,NY005081,HUGHES APARTMENTS,FEDERAL,CONVENTIONAL,NEW CONST,,509,513,"2,421.5",4.76,0,"1,325","1,325",140,27.7%,3,1,3,22,"241,990",5.56,"241,990",6,"23,502","4,599,540",9.71%,238,"$10,288,064","$4,201",$604,ROCKAWAY AVE MOTHER GASTON BLVD SUTTER AVE BELMONT AVE,BROOKLYN,16,9,20,55,41,6/30/1968,,,,
NY005010860,109,086,680,680,NY005364,HYLAN,FEDERAL,CONVENTIONAL,NEW CONST,,209,209,933.5,4.47,0,430,430,80,39.2%,1,0,1,19,"77,658",1.78,"77,658",2,"11,403","1,878,400",14.68%,242,"$3,945,608","$4,240",$599,MOORE ST HUMBOLDT ST SEIGEL ST BUSHWICK AVE,BROOKLYN,1,7,18,53,34,6/30/1960,1995/07/13-PTA,,,
NY005000140,014,014,510,510,NY005213B,INGERSOLL,FEDERAL,CONVENTIONAL,NEW CONST,,"1,822","1,840","8,659.0",4.75,0,"4,129","4,129",508,30.1%,20,1,45,6-11,"884,521",20.31,"812,641",19,"175,748","10,226,288",17.62%,203,"$12,236,672","$1,681",$603,PARK AVE SAINT EDWARDS ST MYRTLE AVE PRINCE ST,BROOKLYN,2,8,25,57,35,2/24/1944,1977/07/01-ATP 1,,,
NY005010100,010,010,205,205,NY005006,KINGSBOROUGH,FEDERAL,CONVENTIONAL,NEW CONST,,"1,157","1,165","4,723.5",4.08,0,"2,405","2,405",428,37.9%,16,0,35,6,"695,544",15.97,"665,526",15,"129,189","8,037,853",18.57%,151,"$5,175,100","$1,107",$523,RALPH AVE PACIFIC ST BERGEN ST ROCHESTER AVE,BROOKLYN,"8, 16",8,25,"55, 56",41,10/31/1941,,,,
NY005010100,161,010,268,205,NY005071,KINGSBOROUGH EXTENSION,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,182,184,637.0,3.50,0,202,202,158,89.3%,1,0,1,25,"63,254",1.45,"63,254",1,"7,110","1,224,082",11.24%,139,"$2,986,383","$4,637",$347,BERGEN ST PACIFIC ST ROCHESTER AVE RALPH AVE,BROOKLYN,8,8,25,56,41,5/31/1966,,EXCLUSIVELY,,
NY005001220,122,122,247,247,NY005047,LAFAYETTE,FEDERAL,CONVENTIONAL,NEW CONST,,880,882,"4,372.0",4.97,0,"2,392","2,392",294,33.6%,7,0,7,13-15-20,"334,323",7.68,"304,776",7,"58,504","8,369,220",17.50%,311,"$14,689,766","$3,350",$662,LAFAYETTE AVE CLASSON AVE DEKALB AVE FRANKLIN AVE,BROOKLYN,3,8,25,57,35,7/31/1962,,,,
NY005011670,348,167,763,763,NY005292,LENOX ROAD-ROCKAWAY PARKWAY,FEDERAL,TURNKEY,REHAB,,74,74,327.0,4.42,0,151,151,21,30.0%,3,0,3,4,"24,000",0.55,"24,000",1,"18,791","943,450",78.30%,275,"$4,669,919","$14,281",$613,KINGS HIGHWAY E 98TH ST WILIMOHR ST E 97TH ST,BROOKLYN,17,9,20,"55, 58",41,9/1/1985,,,YES,
NY005020950,095,095,672,672,NY005377,LINDEN,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,491,"1,586","1,586","7,311.0",4.61,"1,345","2,117","3,462",567,37.6%,19,2,19,8-14,"1,299,426",29.83,"1,299,426",30,"173,020","14,333,039",13.06%,116,"$20,230,969","$2,767",$591,VERMONT ST STANLEY AVE SCHENCK AVE COZINE AVE,BROOKLYN,5,8,19,60,42,7/17/1958,,,,
NY005012610,276,261,502,375,NY005201,LONG ISLAND BAPTIST HOUSES,FEDERAL,CONVENTIONAL,REHAB,,226,232,"1,026.0",4.54,0,522,522,60,26.9%,4,0,4,6,"78,700",1.81,"78,700",2,"37,700","2,490,500",47.90%,288,"$11,627,063","$11,010",$595,SUTTER AVE SHEFFIELD AVE DUMONT AVE HINSDALE ST,BROOKLYN,5,8,19,60,42,6/30/1981,,,YES,
NY005011690,169,169,276,276,NY005082,LOW HOUSES,FEDERAL,CONVENTIONAL,NEW CONST,,535,536,"2,546.5",4.76,0,"1,353","1,353",171,32.4%,4,0,4,17-18,"256,459",5.89,"256,459",6,"45,163","4,802,466",17.61%,230,"$10,312,262","$4,052",$543,SACKMAN ST POWELL ST CHRISTOPHER ST PITKIN AVE,BROOKLYN,16,8,"19, 20",55,41,12/31/1967,,,,
NY005000210,021,021,514,514,NY005213F,MARCY,FEDERAL,CONVENTIONAL,NEW CONST,,"1,714","1,717","8,257.0",4.82,0,"4,113","4,113",616,36.4%,27,1,70,6,"1,241,000",28.49,"1,101,547",25,"240,198","13,741,160",19.36%,144,"$19,420,000","$2,347",$584,FLUSHING AVE MARCY AVE NOSTRAND AVE MYRTLE AVE,BROOKLYN,3,7,18,56,36,1/19/1949,1977/07/01-ATP 1,,,
NY005020830,083,083,426,426,NY005380,MARLBORO,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,352,"1,764","1,765","8,248.0",4.68,880,"3,174","4,054",705,40.4%,28,2,28,7-16,"1,518,505",34.86,"1,471,805",34,"202,426","15,183,887",13.33%,116,"$22,429,000","$2,783",$580,STILLWELL AVE AVENUE V 86TH ST AVENUE X,BROOKLYN,13,11,23,"45, 47",47,2/27/1958,,,,
